@RELATION sms

@ATTRIBUTE class {spam, ham}
@ATTRIBUTE length NUMERIC
@ATTRIBUTE spec_char NUMERIC
@ATTRIBUTE is_cap NUMERIC
@ATTRIBUTE digits NUMERIC
@ATTRIBUTE message STRING

@DATA
spam, 163, 5, 21, 17, "U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16"
ham, 90, 3, 6, 0, "Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor."
ham, 101, 5, 2, 0, "Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
ham, 41, 3, 1, 0, "Oh k :)why you got job then whats up?"
spam, 164, 11, 9, 28, "SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
ham, 163, 5, 4, 0, "Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready."
ham, 87, 3, 3, 0, "Nationwide auto centre (or something like that) on Newport road. I liked them there"
ham, 38, 1, 2, 0, "He is there. You call and meet him"
ham, 33, 1, 2, 0, "Yeah sure I'll leave in a min"
spam, 149, 6, 21, 24, "URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm"
ham, 37, 2, 2, 0, "Mah b, I'll pick it up tomorrow"
ham, 29, 1, 1, 0, "Then she dun believe wat?"
ham, 25, 4, 1, 0, "I've sent u my part.."
ham, 36, 1, 1, 0, "Hey so whats the plan this sat? "
ham, 75, 2, 6, 0, "Can you just come in for a sec? There's somebody here I want you to see"
ham, 72, 4, 2, 0, "Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside."
ham, 45, 3, 1, 0, "I think we're going to finn's now, come"
ham, 84, 2, 3, 2, "Our Prasanth ettans mother passed away last night. Just pray for her and family."
ham, 139, 4, 1, 0, "Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham, 149, 1, 1, 0, "He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages all over his arms every five minutes"
ham, 82, 0, 8, 0, "You please give us connection today itself before  DECIMAL  or refund the bill"
spam, 155, 3, 12, 22, "Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16"
ham, 35, 1, 1, 0, "Mum not going robinson already."
ham, 20, 4, 2, 0, "Got meh... When?"
ham, 28, 1, 2, 0, "We are both fine. Thanks"
ham, 84, 4, 2, 1, "awesome, how do I deal with the gate? Charles told me last night but, uh, yeah"
ham, 105, 4, 5, 3, "I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
ham, 95, 1, 3, 0, "Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with"
ham, 167, 9, 2, 3, "Hey! do u fancy meetin me at 4 at cha – hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x"
ham, 421, 28, 16, 0, "no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham, 120, 3, 1, 0, "If you want to mapquest it or something look up usf dogwood drive, that's the tiny street where the parking lot is"
ham, 261, 21, 5, 0, "Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
ham, 104, 4, 1, 0, "Becoz its  #  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer"
ham, 93, 5, 2, 0, "Good. do you think you could send me some pix? I would love to see your top and bottom..."
ham, 159, 7, 15, 0, "Beautiful Truth against Gravity.. Read carefully: Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.. GOOD NIGHT"
ham, 164, 8, 7, 0, "Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
ham, 34, 2, 1, 0, "Lara said she can loan me  # ."
ham, 67, 3, 3, 0, "Dunno leh cant remember mayb lor. So wat time r we meeting tmr?"
ham, 56, 1, 1, 0, "So wats ur opinion abt him and how abt is character?"
ham, 58, 9, 3, 0, "Oh oh... Wasted... Den muz chiong on sat n sun liao..."
ham, 31, 1, 1, 0, "Are you at work right now ?"
ham, 28, 2, 3, 0, "Bring home some Wendy =D"
ham, 43, 2, 2, 0, "Ok going to sleep. Hope i can meet her."
ham, 135, 13, 4, 0, "Allo! We have braved the buses and taken on the trains and triumphed. I mean we€˜re in b€˜ham. Have a jolly good rest of week"
ham, 36, 3, 1, 0, "Hmmm:)how many players selected?"
ham, 24, 1, 1, 0, "You flippin out yet?"
ham, 139, 5, 4, 1, "Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock."
spam, 149, 6, 21, 24, "URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm"
spam, 145, 10, 5, 17, "1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)"
ham, 57, 2, 2, 0, "Nope. Since ayo travelled, he has forgotten his guy"
ham, 37, 0, 1, 0, "Hey tmr maybe can meet you at yck"
ham, 27, 2, 1, 0, "Ok i'm coming home now."
ham, 25, 4, 0, 0, "u called dad oredi..."
ham, 72, 3, 2, 0, "Alright, I'll head out in a few minutes, text me where to meet you"
ham, 133, 19, 3, 1, "*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?"
ham, 56, 2, 2, 1, "Will be office around 4 pm. Now i am going hospital."
spam, 159, 10, 100, 14, "ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT CARE. BAILIFF DUE IN DAYS. I O £250 3 WANT £800"
ham, 21, 3, 1, 3, "Yup bathe liao..."
ham, 117, 2, 6, 0, "I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message."
ham, 47, 2, 1, 0, "S.this will increase the chance of winning."
ham, 75, 3, 3, 0, "How are you doing. How's the queen. Are you going for the royal wedding"
ham, 44, 1, 2, 0, "Dear reached railway. What happen to you"
ham, 40, 0, 1, 0, "Probably gonna swing by in a wee bit"
ham, 30, 1, 2, 0, "K k pa Had your lunch aha."
ham, 33, 0, 1, 0, "Whom you waited for yesterday"
spam, 165, 5, 24, 24, "Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
spam, 134, 13, 10, 28, "For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
ham, 105, 4, 7, 1, "Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time."
ham, 22, 0, 2, 0, "At home by the way"
ham, 29, 1, 2, 0, "Have a good evening! Ttyl"
ham, 160, 25, 1, 0, "Am watching house €“ very entertaining €“ am getting the whole hugh laurie thing €“ even with the stick €“ indeed especially with the stick."
ham, 158, 4, 3, 0, "But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died."
ham, 166, 5, 3, 0, "So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
ham, 50, 3, 3, 0, "She's good. How are you. Where r u working now"
ham, 92, 12, 1, 1, "Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)"
ham, 55, 3, 3, 0, "Lol you forgot it eh ? Yes, I'll bring it in babe"
ham, 99, 5, 4, 0, "Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later."
spam, 157, 7, 7, 37, "This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm"
ham, 55, 4, 0, 0, "have got * few things to do. may be in * pub later."
ham, 20, 1, 1, 0, "Wat u doing now?"
ham, 38, 2, 1, 0, "I'm a guy, browsin is compulsory"
ham, 50, 0, 1, 0, "No i am not having not any movies in my laptop"
ham, 36, 0, 1, 0, "What should i eat fo lunch senor"
ham, 208, 7, 24, 0, "Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
ham, 113, 11, 1, 0, "No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans"
ham, 118, 3, 90, 1, "AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX."
ham, 39, 1, 4, 0, "Please dont say like that. Hi hi hi"
ham, 45, 2, 5, 0, "Really? I crashed out cuddled on my sofa."
ham, 65, 3, 5, 0, "Dont show yourself. How far. Put new pictures up on facebook."
ham, 119, 6, 5, 0, "I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes..."
ham, 68, 5, 4, 0, "Boo I'm on my way to my moms. She's making tortilla soup. Yummmm"
ham, 28, 1, 1, 0, "What not under standing."
ham, 293, 6, 4, 0, "So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham, 92, 2, 2, 0, "Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming"
ham, 27, 0, 1, 0, "I didnt get anything da"
ham, 46, 3, 2, 0, "I want snow. It's just freezing and windy."
ham, 83, 6, 2, 0, "Bishan lar nearer... No need buy so early cos if buy now i gotta park my car..."
ham, 167, 8, 10, 1, "You stayin out of trouble stranger!!saw Dave the other day he’s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! "
ham, 44, 4, 2, 0, "I've got  # , any way I could pick up?"
spam, 116, 8, 15, 8, "Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X"
ham, 24, 3, 1, 0, "U can call me now..."
ham, 21, 5, 1, 0, "Eatin my lunch..."
ham, 42, 3, 1, 0, "What will we do in the shower, baby?"
ham, 91, 7, 2, 8, "Leave it wif me lar... u wan to carry meh so heavy... Is da num 98321561 familiar to u?"
ham, 46, 2, 2, 0, "No just send to you. Bec you in temple na."
ham, 63, 2, 2, 0, "After completed degree. There is no use in joining finance."
ham, 130, 5, 17, 0, "Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No."
ham, 96, 2, 1, 0, "alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap"
ham, 44, 1, 4, 0, "Do I? I thought I put it back in the box"
ham, 26, 0, 1, 0, "I have many dependents"
ham, 298, 12, 11, 3, "Once a fishrman woke early in d mrng. It was very dark. He waited a while & found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up & he found out tht those r nt stones, those were diamonds. Moral:Dont wake up early in d mrng'' GOOD night"
ham, 158, 8, 7, 1, "Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
ham, 88, 0, 2, 0, "Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx"
ham, 28, 1, 1, 0, "Jus chillaxin, what up"
ham, 63, 7, 3, 0, "No break time one... How... I come out n get my stuff fr u?"
spam, 158, 4, 19, 24, "Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm"
ham, 42, 4, 2, 0, "Ok... Let u noe when i leave my house."
ham, 200, 4, 3, 0, "I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times."
ham, 28, 0, 1, 0, "Midnight at the earliest"
ham, 90, 2, 1, 1, "Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  #  dollars."
ham, 27, 0, 1, 0, "U should make a fb list"
ham, 48, 2, 1, 1, "Princess, is your kitty shaved or natural?"
ham, 152, 8, 1, 0, "Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
ham, 144, 5, 4, 0, "He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment"
spam, 137, 3, 5, 12, "U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565"
ham, 93, 7, 4, 0, "You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
ham, 27, 3, 1, 0, "Me fine..absolutly fine"
ham, 28, 2, 1, 0, "How much are we getting?"
ham, 36, 1, 1, 0, "Did you try making another butt."
spam, 175, 9, 7, 41, "+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm"
ham, 27, 1, 1, 0, "I am sorry it hurt you."
spam, 140, 7, 9, 10, "Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!"
ham, 17, 3, 2, 0, "Ok. C u then."
ham, 27, 0, 1, 3, "Ok leave no need to ask"
ham, 105, 4, 3, 0, "Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!"
ham, 74, 1, 1, 0, "I remain unconvinced that this isn't an elaborate test of my willpower"
spam, 147, 7, 14, 23, "You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
ham, 138, 9, 7, 0, "Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
spam, 171, 4, 28, 24, "8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity "
ham, 49, 0, 1, 0, "Mm have some kanji dont eat anything heavy ok"
ham, 122, 5, 4, 0, "I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room."
ham, 41, 5, 1, 0, "Ya very nice. . .be ready on thursday"
ham, 19, 4, 1, 0, "Anything lar..."
ham, 47, 4, 1, 1, "Oh thanks a lot..i already bought 2 eggs .."
ham, 78, 5, 1, 0, "I know complain num only..bettr directly go to bsnl offc nd apply for it.."
ham, 50, 1, 2, 0, "No no. I will check all rooms befor activities"
ham, 27, 3, 2, 0, "No pic. Please re-send."
ham, 120, 8, 4, 0, "cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg.."
ham, 32, 0, 1, 0, "I donno if they are scorable"
ham, 124, 5, 16, 0, "Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
ham, 130, 9, 93, 2, "BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & I’LLSPEAK 2U SOONLOTS OF LOVEME XXXX."
ham, 34, 3, 4, 0, "Have you finished work yet? :)"
spam, 131, 7, 14, 8, "Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone"
spam, 165, 4, 40, 31, "Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p."
ham, 32, 0, 1, 0, "Gud mrng dear hav a nice day"
ham, 52, 3, 2, 0, "You are a very very very very bad girl. Or lady."
ham, 45, 2, 2, 0, "In e msg jus now. U said thanks for gift."
ham, 110, 5, 3, 1, "it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  # "
ham, 74, 2, 2, 0, "Aiyah e rain like quite big leh. If drizzling i can at least run home."
ham, 53, 0, 1, 0, "I have gone into get info bt dont know what to do"
ham, 52, 3, 2, 0, "That's a shame! Maybe cld meet for few hrs tomo?"
spam, 175, 9, 19, 26, "Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
ham, 58, 7, 2, 1, "Yupz... I've oredi booked slots 4 my weekends liao... "
ham, 46, 2, 4, 0, "Is that on the telly? No its Brdget Jones!"
ham, 127, 2, 5, 0, "Sorry man my account's dry or I would, if you want we could trade back half or I could buy some stuff with my credit card"
spam, 169, 16, 29, 26, "WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
spam, 165, 3, 12, 16, "FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline"
ham, 166, 13, 3, 0, "Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
ham, 134, 11, 4, 0, "Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
ham, 91, 2, 1, 0, "If he started searching he will get job in few days.he have great potential and talent."
ham, 59, 6, 1, 0, "As in missionary hook up, doggy hook up, standing...|"
ham, 50, 0, 1, 0, "Ok anyway no need to change with what you said"
ham, 81, 2, 0, 0, "#  great loxahatchee xmas tree burning update: you can totally see stars here"
ham, 114, 6, 0, 1, "hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?"
ham, 19, 1, 11, 0, "ELLO BABE U OK?"
ham, 49, 4, 1, 1, "u go home liao? Ask dad to pick me up at 6..."
ham, 67, 4, 0, 0, "u say until like dat i dun buy ericsson oso cannot oredi lar..."
ham, 31, 1, 2, 0, "Oooh I got plenty of those!"
ham, 80, 4, 3, 0, "What's a feathery bowa? Is that something guys have that I don't know about?"
ham, 74, 3, 2, 0, "Aight I'll grab something to eat too, text me when you're back at mu"
ham, 91, 3, 12, 0, "wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine KUDIyarasu dhina vaazhthukkal. .."
ham, 124, 12, 4, 0, "Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  "
ham, 46, 3, 2, 0, "I don't know but I'm raping dudes at poker"
ham, 184, 7, 6, 0, "When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important."
ham, 75, 3, 3, 0, "Mm not entirely sure i understood that text but hey. Ho. Which weekend?"
spam, 161, 13, 23, 18, "Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
ham, 58, 4, 1, 0, "You are gorgeous! keep those pix cumming :) thank you!"
ham, 49, 8, 1, 0, "Prabha..i'm soryda..realy..frm heart i'm sory"
ham, 26, 1, 2, 1, "It took Mr owl 3 licks"
ham, 50, 1, 2, 0, "No no. I will check all rooms befor activities"
ham, 42, 2, 2, 0, "Alright took the morphine. Back in yo."
ham, 67, 6, 2, 0, "No:-)i got rumour that you going to buy apartment in chennai:-)"
ham, 241, 15, 7, 0, "You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless."
ham, 27, 2, 1, 0, "Lol ok your forgiven :)"
ham, 41, 4, 1, 0, "Hi :)finally i completed the course:)"
spam, 114, 8, 12, 18, "Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186."
ham, 35, 1, 0, 0, "at bruce b downs & fletcher now"
spam, 160, 6, 18, 27, "Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ "
ham, 94, 6, 4, 1, "Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)"
ham, 35, 2, 3, 0, "Well. Balls. Time to make calls"
spam, 137, 5, 15, 4, "How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)"
ham, 35, 1, 1, 0, "Awesome, be there in a minute"
ham, 48, 4, 1, 1, "Hey i've booked the 2 lessons on sun liao..."
ham, 28, 2, 1, 0, "S..antha num corrct dane"
ham, 86, 2, 4, 0, "Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired"
ham, 70, 2, 3, 0, "O. Well uv causes mutations. Sunscreen is like essential thesedays"
ham, 37, 2, 2, 0, "Boooo you always work. Just quit."
ham, 153, 2, 1, 2, "Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  #  or any bb"
ham, 43, 3, 1, 0, "In which place i can get rooms cheap:-)"
ham, 27, 1, 1, 0, "So why didnt you holla?"
ham, 141, 2, 4, 0, "In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade"
ham, 64, 3, 3, 0, "Hai priya are you right. What doctor said pa. Where are you."
ham, 54, 1, 2, 0, "Is she replying. Has boye changed his phone number"
ham, 32, 1, 1, 0, "At what time are you coming."
ham, 33, 1, 1, 0, "I hope your pee burns tonite."
spam, 159, 5, 30, 25, "BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary"
spam, 76, 4, 2, 0, "For sale - arsenal dartboard. Good condition but no doubles or trebles!"
ham, 39, 3, 0, 2, "4 tacos + 1 rajas burrito, right?"
ham, 43, 0, 2, 0, "At the funeral home with Audrey and dad"
ham, 124, 6, 7, 0, "Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked."
ham, 55, 1, 1, 0, "I place all ur points on e cultures module already."
ham, 46, 6, 2, 0, "Goin to workout lor... Muz lose e fats... "
ham, 71, 2, 3, 0, "Great escape. I fancy the bridge but needs her lager. See you tomo "
ham, 160, 8, 6, 0, "Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
ham, 50, 5, 3, 0, "What is this 'hex' place you talk of? Explain!"
ham, 78, 4, 2, 0, "He's just gonna worry for nothing. And he won't give you money its no use."
ham, 52, 4, 2, 0, "Ok., is any problem to u frm him? Wats matter?"
ham, 48, 1, 1, 0, "I am taking half day leave bec i am not well"
ham, 75, 3, 12, 0, "Wishing you and your family Merry X mas and HAPPY NEW Year in advance.."
ham, 82, 6, 2, 0, "Yes obviously, but you are the eggs-pert and the potato head... Speak soon! "
ham, 55, 2, 2, 0, "Wen did you get so spiritual and deep. That's great"
ham, 27, 1, 1, 0, "Now am free call me pa."
ham, 33, 0, 1, 0, "Dont know you bring some food"
ham, 34, 1, 1, 0, "In which place do you want da."
ham, 32, 2, 1, 0, "Then why you came to hostel."
ham, 30, 5, 2, 0, "Oh ya ya. I remember da. ."
ham, 91, 5, 4, 0, "Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
ham, 37, 2, 2, 0, "Long time. You remember me today."
ham, 31, 0, 1, 0, "Arun can u transfr me d amt"
ham, 29, 1, 1, 0, "Are you staying in town ?"
ham, 178, 5, 3, 0, "Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
ham, 109, 7, 2, 5, " came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
spam, 110, 3, 7, 13, "Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days"
ham, 146, 3, 4, 0, "Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng"
ham, 18, 1, 1, 0, "Yup next stop."
